Mes,Classic Cars Estimado,Vintage Cars Estimado
1,10.0,16.0
2,3.0,8.0
3,26.0,16.0
4,12.0,8.0
5,28.0,16.0
6,10.0,8.0
7,22.0,9.0
8,10.0,8.0
9,37.0,18.0
10,59.0,26.0
11,114.0,66.0
12,32.0,17.0
13,30.0,24.0
14,32.0,8.0
15,16.0,19.0
16,25.0,17.0
17,16.0,5.0
18,10.0,12.0
19,36.0,13.0
20,55.0,24.0
21,23.0,24.0
22,50.0,41.0
23,103.0,65.0
24,29.0,23.0
25,27.750016617844715,27.375703840309168
26,25.249995089619265,15.376528103379309
27,28.750030982513017,24.876532011268438
28,26.249958915916224,19.87619301910316
29,29.749969059382078,17.87780223734108
30,17.74993002725621,17.376828777221604
31,36.749943026938,18.376772226304098
32,40.25001658950514,23.374795862275523
33,37.74997265852182,28.3759133488879
34,62.25000869431098,40.87421831236566
35,116.25004371230233,72.87621179397144
36,38.24999179200919,27.37504563001034
