Periodo,Pronostico,Limite_Inferior,Limite_Superior
2005-06-01,73473.11130526623,40021.80605287778,109758.709259698
2005-07-01,167937.12607534858,132204.14126979365,204272.01714643234
2005-08-01,214110.83612101234,178786.69981338552,252614.62071141312
2005-09-01,166639.70940972617,131850.23245293205,203061.94158693173
2005-10-01,321169.01709282293,284470.9340214636,357186.8201938938
2005-11-01,600500.5846943336,568143.4066212809,636978.0592396097
2005-12-01,172319.66153572648,134157.54438392405,209837.9233743241
2006-01-01,156303.9888864457,119893.20046836261,193124.32996671906
2006-02-01,169308.36309367575,132490.998435269,208595.34182369558
2006-03-01,157551.49238966647,121264.96785884046,199646.93315474846
2006-04-01,85319.55125160795,48006.80048367647,126265.69844760478
2006-05-01,132748.14023594907,95101.81729317446,172316.7840059633
