Periodo,Pronostico,Limite_Inferior,Limite_Superior,Autos_Clasicos,Autos_Vintage
2005-06-01 00:00:00,73473.11130526623,37071.024243949956,110096.8668989798,14.0,7.0
2005-07-01 00:00:00,167937.12607534858,130905.82769708845,200614.05071888195,31.0,17.0
2005-08-01 00:00:00,214110.83612101234,179342.34112253968,249194.92640641928,40.0,21.0
2005-09-01 00:00:00,166639.70940972617,131780.31249703257,202063.3361324987,31.0,17.0
2005-10-01 00:00:00,321169.01709282293,286031.04822949186,357707.9540464586,60.0,32.0
2005-11-01 00:00:00,600500.5846943336,562485.7149795227,637428.0784918276,112.0,60.0
2005-12-01 00:00:00,172319.66153572648,136061.629979382,208606.14355669785,32.0,17.0
2006-01-01 00:00:00,156303.9888864457,117902.75518192828,193787.4102701809,29.0,16.0
2006-02-01 00:00:00,169308.36309367575,131557.01144158078,209737.06148908316,31.0,17.0
2006-03-01 00:00:00,157551.49238966647,119743.17896956738,193803.86016814367,29.0,16.0
2006-04-01 00:00:00,85319.55125160795,45037.74540221835,125351.62953428188,16.0,9.0
2006-05-01 00:00:00,132748.14023594907,89035.25625914124,170079.59623054278,25.0,13.0
TOTAL,2417381.582091581,1966953.8460034432,2858470.913943996,450.0,242.0
