Periodo,Pronostico,Limite_Inferior,Limite_Superior
2005-06-01,73473.11130526623,34762.8536733161,110289.33855113681
2005-07-01,167937.12607534858,131586.6630846352,205263.35576230084
2005-08-01,214110.83612101234,179253.73097202682,251625.07741636463
2005-09-01,166639.70940972617,131898.37345037388,201326.0960007761
2005-10-01,321169.01709282293,285353.73225131887,358855.69597629155
2005-11-01,600500.5846943336,565652.7695175539,637410.7490750069
2005-12-01,172319.66153572648,136076.76142701128,207958.4638038759
2006-01-01,156303.9888864457,118887.95116331507,194073.14306449814
2006-02-01,169308.36309367575,130865.05465743651,205896.66780212912
2006-03-01,157551.49238966647,121962.3449321241,195077.86105499126
2006-04-01,85319.55125160795,42690.808325460275,123900.4389666575
2006-05-01,132748.14023594907,93270.94313649392,171187.59488908484
