Periodo,Pronostico,Limite_Inferior,Limite_Superior
2005-06-01,102517.47843144009,-202830.74356263678,407865.70042551693
2005-07-01,196861.6595071845,-109700.2755025338,503423.5945169028
2005-08-01,294342.34921824746,-12294.998806611635,600979.6972431066
2005-09-01,163156.22396863636,-143498.97649591614,469811.42443318886
2005-10-01,275341.8503773374,-31335.277717521356,582018.9784721963
2005-11-01,418589.2382366649,111890.61462898029,725287.8618443495
2005-12-01,177534.89446269558,-129185.2731102223,484255.06203561346
2006-01-01,162660.70095919218,-144081.08196696464,469402.483885349
2006-02-01,214868.47439642192,-91894.73561945255,521631.6844122964
2006-03-01,175428.10466704305,-131356.0298188202,482212.23915290635
2006-04-01,83929.171303673,-222875.93914008106,390734.28174742707
2006-05-01,156723.14727536944,-150102.93058047845,463549.22513121733
