Periodo,Ventas_Historicas,Valores_Ajustados,Residuos
2003-01-01,88018.62,0.0,88018.62
2003-02-01,44466.64,83512.22077800319,-39045.58077800319
2003-03-01,151957.69,87463.0849006217,64494.6050993783
2003-04-01,80623.94,77299.20169067183,3324.738309328168
2003-05-01,145213.06,84647.10425910972,60565.95574089028
2003-06-01,76839.3,78829.50071348513,-1990.20071348513
2003-07-01,123707.67,85804.50170151994,37903.16829848006
2003-08-01,71692.07,81506.29227822452,-9814.222278224508
2003-09-01,190712.77,86702.45730354192,104010.31269645807
2003-10-01,318102.12,75896.92976714818,242205.19023285183
2003-11-01,637597.77,66078.36413003132,571519.4058699687
2003-12-01,183194.84,40992.84883935575,142201.99116064425
2004-01-01,197708.95,113922.39608350483,83786.55391649518
2004-02-01,158076.66,81060.51412942668,77016.14587057332
2004-03-01,137125.22,171863.55028799092,-34738.33028799092
2004-04-01,146846.21,123336.52587376715,23509.684126232838
2004-05-01,95439.39,170304.2563387254,-74864.86633872539
2004-06-01,68103.0,123170.4768240768,-55067.4768240768
2004-07-01,191949.86,158394.22056650033,33555.63943349966
2004-08-01,295034.87,106861.7528853473,188173.1171146527
2004-09-01,170106.53,193386.61771809837,-23280.087718098366
2004-10-01,340017.1,321988.38522862806,18028.714771371917
2004-11-01,600155.3099999999,581499.0399969565,18656.270003043464
2004-12-01,185312.86000000002,204249.897785021,-18937.037785020977
2005-01-01,169199.21,213092.92173626792,-43893.71173626793
2005-02-01,224224.29,191374.60171439842,32849.68828560159
2005-03-01,162915.2,141762.92896261468,21152.271037385333
2005-04-01,61028.66,168446.63755284096,-107417.97755284095
2005-05-01,129468.15,122404.03689327295,7064.113106727047
