Periodo,Ventas_Historicas,Valores_Ajustados,Residuos
2003-01-01,88018.62,189282.85235674336,-101264.23235674336
2003-02-01,44466.64,139165.3572628685,-94698.7172628685
2003-03-01,151957.69,111433.49866536666,40524.191334633346
2003-04-01,80623.94,122310.45233713035,-41686.51233713035
2003-05-01,145213.06,73382.6754305897,71830.3845694103
2003-06-01,76839.3,48935.27945260311,27904.020547396896
2003-07-01,123707.67,140832.76559750634,-17125.09559750634
2003-08-01,71692.07,81294.03496735732,-9601.964967357315
2003-09-01,190712.77,197300.7769081427,-6588.006908142706
2003-10-01,318102.12,324111.089759293,-6008.969759293017
2003-11-01,637597.77,644317.3082056612,-6719.538205661229
2003-12-01,183194.84,193899.60057916344,-10704.760579163441
2004-01-01,197708.95,196195.93103736613,1513.0189626338833
2004-02-01,158076.66,146796.585222369,11280.074777631002
2004-03-01,137125.22,133855.6510508912,3269.568949108798
2004-04-01,146846.21,135740.2508170142,11105.959182985796
2004-05-01,95439.39,99229.15528306623,-3789.7652830662264
2004-06-01,68103.0,69977.01416017476,-1874.01416017476
2004-07-01,191949.86,156949.13484984904,35000.725150150945
2004-08-01,295034.87,98233.29843861282,196801.57156138716
2004-09-01,170106.53,214569.71556149874,-44463.18556149874
2004-10-01,340017.1,341443.36396403785,-1426.2639640378766
2004-11-01,600155.3099999999,661571.859235076,-61416.54923507606
2004-12-01,185312.86000000002,210718.2400646059,-25405.38006460588
2005-01-01,169199.21,214350.97281451357,-45151.76281451358
2005-02-01,224224.29,166019.9642840047,58204.32571599531
2005-03-01,162915.2,152202.82740138003,10712.372598619986
2005-04-01,61028.66,154944.58561458922,-93915.92561458921
2005-05-01,129468.15,116804.16761430207,12663.98238569792
