Componente,Estacion,CTE_A_base,ROP_A,k_A,SS_A_base,S_esperado_ciclo_A_base,S_esperado_ciclo_A_up15,CTE_B_base,SS_B_base,SS_B_up15,Delta_SS_B,Delta_CTE_B,CTE_B_up15
Carrocería Artesanal de Época,PICO,7506.663706334525,106.23556581986143,0.0,0.0,8.487780762788514,9.760947877206792,110702.10879086448,34.998545004399,40.24832675505885,5.249781750659849,15749.345251979548,126451.45404284404
Carrocería Artesanal de Época,NORMAL,15062.370331392069,34.64203233256352,0.0,0.0,2.409875803365982,2.771357173870879,44975.22983101585,9.93689035052401,11.42742390310261,1.4905335525786008,4471.600657735802,49446.83048875166
Motor de Alto Rendimiento V8,PICO,7950.471684120383,119.16859122401846,0.0,0.0,12.209983886486139,14.04148146945906,96674.2824497761,50.346690436167584,57.898694001592716,7.552003565425132,13593.606417765237,110267.88886754133
Motor de Alto Rendimiento V8,NORMAL,15883.481986013016,38.52193995381063,0.0,0.0,3.4432723319393124,3.9597631817302092,41551.57022626,14.198001225492137,16.327701409315956,2.12970018382382,3833.460330882876,45385.030557142876
Motor de Cilindros de Línea Raro,PICO,6714.164132637808,127.48267898383372,0.0,0.0,9.29789797387535,10.692582669956654,97117.58968956536,38.33898515753816,44.089832931168885,5.750847773630724,13802.034656713739,110919.6243462791
Motor de Cilindros de Línea Raro,NORMAL,13472.19358530748,41.57043879907621,-1.0737791960606482e-15,0.0,2.639886676578869,3.0358696780656986,39688.35689475065,10.885317992874835,12.51811569180606,1.632797698931224,3918.7144774349376,43607.07137218559
Carrocería Estándar (Fibra),PICO,6756.601709932787,79.44572748267898,0.0,0.0,9.969410096498562,11.464821610973344,58581.98580148607,41.10790060215748,47.274085692481094,6.166185090323616,8016.0406174207,66598.02641890677
Carrocería Estándar (Fibra),NORMAL,13498.364098413307,25.681293302540418,0.0,0.0,2.8114200862314873,3.2331330991662095,28663.68427012244,11.592619456621994,13.331512375115292,1.7388929184932973,2260.5607940412865,30924.245064163726
Tapicería de Cuero Premium,PICO,6566.582063752801,243.8799076212471,0.0,0.0,21.690576872811587,24.94416340373332,76546.46626096392,89.43900084962496,102.8548509770687,13.415850127443733,10732.680101954986,87279.14636291891
Tapicería de Cuero Premium,NORMAL,13138.746769257206,79.07621247113164,0.0,0.0,6.124467952127121,7.043138144946189,33432.91374777649,25.25365266151152,29.041700560738246,3.7880478992267257,3030.4383193813806,36463.352067157866
