Componente,Estacion,Demanda_Estacion,EOQ,Stock_Seguridad,ROP,CTE
Motor de Alto Rendimiento V8,PICO,171.16721176047193,18.50228157609066,3.231258444944162,121.82286012656444,6520.062006310447
Motor de Cilindros en Línea Raro,PICO,92.16696017871564,11.75799473839283,2.46060204727757,130.17463462748398,5687.438714268159
Carrocería Artesanal de Época,PICO,92.16696017871564,10.51667020565249,2.2462120772288645,108.6745725607342,6381.441141440677
Carrocería Estándar (Fibra),PICO,171.16721176047193,21.771575723647974,2.6383114723907495,81.6993792601376,5288.8088924750555
Transmisión de 5 Velocidades,PICO,263.33417193918757,36.800679709970325,4.058940726754999,125.69135270790399,4766.955717617954
Sistema de Inyección Electrónica,PICO,171.16721176047193,50.670584922685464,2.2848447581863156,61.580645598996455,2118.2171872348713
Set de Carburadores Dobles,PICO,92.16696017871564,42.93412632829872,1.588311791791651,54.802492033544326,1335.6731436027108
Tapicería de Cuero Premium,PICO,263.33417193918757,34.4238837687781,5.740209024645427,249.0050329869434,5355.21237245647
Juego de Llantas Vintage Espec.,PICO,368.66784071486256,51.52095159395846,25.412988668666415,238.2697096356771,6411.1616885520725
Llantas Regulares Cromados,PICO,684.6688470418877,175.52805507064946,29.84908692815622,187.97122250364993,2738.3618933174084
Cubiertas de Alta Gama (Neumáticos),PICO,1053.3366877567503,275.3910701502248,45.92167219716342,289.1864961594614,2677.606186228235
