Componente,Estacion,Demanda_Estacion,EOQ,Num_Pedidos,Lead_Time_Semanas,ROP,Stock_Seguridad,sigma_mensual,fraccion,CTE,CT_Optimo
Carrocería Artesanal de Época,PICO,92.0,6.957,34.7851,10,141.2341,34.9985,14.0,0.1667,110702.1088,1385706.4738
Motor de Alto Rendimiento V8,PICO,172.0,12.2474,36.7423,6,169.5153,50.3467,26.0,0.1667,96674.2824,1554050.2397
Motor de Cilindros de Línea Raro,PICO,92.0,7.7782,31.1127,12,165.8217,38.339,14.0,0.1667,97117.5897,1109104.0253
Carrocería Estándar (Fibra),PICO,172.0,14.4115,31.225,4,120.5536,41.1079,26.0,0.1667,58581.9858,1123141.715
Tapicería de Cuero Premium,PICO,264.0,22.7816,30.3754,8,333.3189,89.439,40.0,0.1667,76546.4663,1060995.2656
Carrocería Artesanal de Época,NORMAL,150.0,6.957,34.7851,10,44.5789,9.9369,3.9749,0.8333,44975.2298,2265164.5588
Motor de Alto Rendimiento V8,NORMAL,278.0,12.2474,36.7423,6,52.7199,14.198,7.3321,0.8333,41551.5702,2517995.168
Motor de Cilindros de Línea Raro,NORMAL,150.0,7.7782,31.1127,12,52.4558,10.8853,3.9749,0.8333,39688.3569,1813563.5937
Carrocería Estándar (Fibra),NORMAL,278.0,14.4115,31.225,4,37.2739,11.5926,7.3321,0.8333,28663.6843,1820593.279
Tapicería de Cuero Premium,NORMAL,428.0,22.7816,30.3754,8,104.3299,25.2537,11.2942,0.8333,33432.9137,1725229.9916
